Trevor Cohn
Kevin Duh
Pengtao Xie
Eric Xing
Zoubin Ghahramani
Rico Sennrich
Barry Haddow
Alexandra Birch
Prateek Jain
Chi Jin
Praneeth Netrapalli
Aaron Sidford
Dan Geiger
Judea Pearl
Lu Zhang
Dan Stowell
Ashish Sabharwal
Dan Roth
Phil Blunsom
Tim Salimans
Diederik P. Kingma
Subbarao Kambhampati
Zhengdong Lu
Hang Li
Sanjeev Satheesh
Niek Tax
Natalia Sidorova
Wil M. P. van der Aalst
Gregoire Montavon
Klaus-Robert Muller
Wojciech Samek
Pulkit Agrawal
Ross Girshick
Jitendra Malik
Dmitry Vetrov
Andrey Kutuzov
Xiangyu Zhang
Kaiming He
Jian Sun
Adriana Romero
Yoshua Bengio
Diederik Aerts
Bart De Moor
Ingrid Daubechies
Charless C. Fowlkes
Saurabh Gupta
Judy Hoffman
Qi Wu
Jian Zhang
Xiaodong Li
Sebastian Nowozin
Botond Cseke
Ryota Tomioka
Pascal Germain
Amaury Habrard
Francois Laviolette
Emilie Morvant
Michael Sapienza
Benjamin I. P. Rubinstein
Ohad Shamir
Siamak Ravanbakhsh
Russell Greiner
Nadav Cohen
Amnon Shashua
Pushmeet Kohli
Kevin S. Xu
Alfred O. Hero III
Stefan Roth
Elchanan Mossel
Moncef Gabbouj
Sanja Fidler
Pramod K. Varshney
Lior Rokach
Ali Jadbabaie
Marc Peter Deisenroth
Nicolo Cesa-Bianchi
Shai Shalev-Shwartz
Pabitra Mitra
Fionn Murtagh
David Tolpin
Xiang Bai
Qi Tian
Fei Tian
Tao Qin
Tie-Yan Liu
Quan Wang
Aditya Joshi
Pushpak Bhattacharyya
Vladlen Koltun
Nebojsa Jojic
Shahar Mendelson
Martin Pelikan
Kumara Sastry
David E. Goldberg
Matthias Hein
Yoshiyuki Kabashima
Peter L. Bartlett
Michael W. Mahoney
Volodymyr Mnih
Nicolas Heess
Alex Graves
Koray Kavukcuoglu
Yuchao Dai
Quanzeng You
Jiebo Luo
Marek J. Druzdzel
Guosheng Lin
Lingqiao Liu
Ian Reid
Chi Zhang
Yuanzhi Li
Lok Ming Lui
Chao Dong
Chen Change Loy
Xiaoou Tang
Arindam Banerjee
Yunwen Lei
Alexander Binder
Marius Kloft
Lei Zhang
David Zhang
Feng Wu
Feng Liu
Tao Xiang
Timothy M. Hospedales
Bernd Bischl
Frank Hutter
Joaquin Vanschoren
Farokh Marvasti
Nathaniel Korda
Remi Munos
A. Stolcke
Andreas Bulling
Mario Fritz
Thorsten Joachims
Shaofei Wang
Faicel Chamroukhi
Jiwei Li
Dan Jurafsky
Andrew Y. Ng
Michael Spranger
Pei-Hao Su
Milica Gasic
Nikola Mrksic
Stefan Ultes
David Vandyke
Tsung-Hsien Wen
Steve Young
Peter Richtarik
Martin Takac
Joni Dambre
Josef van Genabith
Zhaopeng Tu
Joan Bruna
Li Deng
Lihong Li
Chong Wang
Ivo Danihelka
Balaji Lakshminarayanan
Benigno Uria
Daan Wierstra
Nader Karimi
Shadrokh Samavi
Kayvan Najarian
Animesh Mukherjee
Richard J. Preen
Larry Bull
Paul Wohlhart
Christoph Dann
Jose C. Principe
Ruihong Huang
Mark-Jan Nederhof
Giorgio Satta
Dima Damen
Zaid Harchaoui
Cordelia Schmid
Chao-Lin Liu
Soumyabrata Dev
Yee Hui Lee
Stefan Winkler
Jesse H. Krijthe
Marco Loog
Shuo Yang
Mohammed Korayem
Khalifeh AlJadda
Trey Grainger
Maurizio Gabbrielli
Krzysztof Choromanski
Vikas Sindhwani
Jean-Yves Audibert
Jason J. Corso
Michael I. Jordan
Arindam Chaudhuri
Artur Dubrawski
Hongyang Li
Yu Liu
Wanli Ouyang
Xiaogang Wang
Alain Rakotomamonjy
Kunal N. Chaudhury
Fumin Shen
Heng Tao Shen
Mirella Lapata
Luke Bornn
Finale Doshi-Velez
Mikhail Belkin
Luis Rademacher
Matthew B. Blaschko
Arthur Gretton
Gang Chen
Liang Zheng
Yi Yang
Qixiang Ye
Francis Bach
Han Zhao
Ruslan Salakhutdinov
Li Yao
Tran Cao Son
